service_id,date,exception_type
1.5.H577,20200415,1
1.5.H577,20200416,1
1.5.H596,20200417,1
1.5.H591,20200418,1
1.5.H582,20200419,1
1.5.H577,20200420,1
1.5.H577,20200421,1
1.5.H577,20200422,1
1.5.H577,20200423,1
1.5.H596,20200424,1
1.5.H591,20200425,1
1.5.H582,20200426,1
1.5.H577,20200427,1
1.5.H577,20200428,1
1.5.H577,20200429,1
1.5.H577,20200430,1
1.5.H582,20200501,1
1.5.H591,20200502,1
1.5.H582,20200503,1
1.5.H577,20200504,1
1.5.H577,20200505,1
1.5.H577,20200506,1
1.5.H577,20200507,1
1.5.H596,20200508,1
1.5.H591,20200509,1
1.5.H582,20200510,1
1.5.H577,20200511,1
1.5.H577,20200512,1
1.5.H577,20200513,1
1.5.H577,20200514,1
1.5.H596,20200515,1
1.5.H591,20200516,1
1.5.H582,20200517,1
1.5.H577,20200518,1
1.5.H577,20200519,1
1.5.H577,20200520,1
1.5.H577,20200521,1
1.5.H596,20200522,1
1.5.H591,20200523,1
1.5.H582,20200524,1
1.5.H577,20200525,1
1.5.H577,20200526,1
1.5.H577,20200527,1
1.5.H577,20200528,1
1.5.H596,20200529,1
1.5.H591,20200530,1
1.5.H582,20200531,1
1.5.H582,20200601,1
1.5.H577,20200602,1
1.5.H577,20200603,1
1.5.H577,20200604,1
1.5.H596,20200605,1
1.5.H591,20200606,1
1.5.H582,20200607,1
1.5.H577,20200608,1
1.5.H577,20200609,1
1.5.H577,20200610,1
1.5.H577,20200611,1
1.5.H596,20200612,1
1.5.H591,20200613,1
1.5.H582,20200614,1
1.5.H577,20200615,1
1.5.H577,20200616,1
1.5.H577,20200617,1
1.5.H577,20200618,1
1.5.H596,20200619,1
1.5.H591,20200620,1
1.5.H582,20200621,1
1.5.H577,20200622,1
1.5.H577,20200623,1
1.5.H582,20200624,1
1.5.H577,20200625,1
1.5.H596,20200626,1
1.5.H591,20200627,1
1.5.H582,20200628,1
1.5.H577,20200629,1
1.5.H577,20200630,1
1.5.H577,20200701,1
1.5.H577,20200702,1
1.5.H596,20200703,1
1.5.H591,20200704,1
1.5.H582,20200705,1
